2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Hackney 021E,E01001756,987,12,96,218,392,215,35,1
Hackney 021F,E01033698,613,22,23,72,466,13,4,1
Hackney 021G,E01033699,585,6,13,76,224,173,74,1
Hackney 021H,E01033700,697,7,29,68,471,55,30,0
Hackney 021I,E01033707,614,12,36,89,335,83,38,0
Hackney 022A,E01001836,857,20,41,172,349,222,41,0
Hackney 022B,E01001840,715,25,44,97,480,53,4,0
Hackney 022C,E01001841,626,13,32,190,247,133,2,0
Hackney 022D,E01001844,812,34,48,250,194,186,21,0
Hackney 022E,E01001845,680,15,28,163,361,101,4,0
Hackney 023B,E01001837,665,10,29,154,326,144,2,0
Hackney 023C,E01001839,941,6,13,60,721,95,35,0
Hackney 023D,E01001842,631,9,15,87,417,77,3,0
Hackney 023E,E01001843,502,25,81,196,143,56,1,0
Hackney 023F,E01033704,763,2,16,55,538,95,48,1
Hackney 023G,E01033712,661,8,14,95,427,66,50,1
Hackney 024A,E01001772,459,6,13,24,396,2,4,0
Hackney 024B,E01001774,875,6,8,35,690,106,20,2
Hackney 024C,E01001775,759,6,9,30,682,24,5,0
Hackney 024D,E01001815,692,24,76,112,404,69,2,1
Hackney 024E,E01001820,599,22,69,116,350,33,0,1
Hackney 024F,E01001821,644,9,22,56,538,12,0,0
Hackney 025A,E01001752,1060,3,20,44,941,42,4,0
Hackney 025B,E01001753,687,4,14,20,601,21,1,1
Hackney 025C,E01001754,1135,4,20,25,1021,18,24,7
Hackney 025D,E01001755,724,11,12,44,610,26,18,0
Hackney 025E,E01001773,860,15,25,81,692,12,27,0
Hackney 025F,E01001776,634,12,11,48,523,12,14,0
Hackney 026A,E01001779,1121,8,8,40,971,51,21,0
Hackney 026B,E01001781,731,4,5,6,685,10,8,0
Hackney 026C,E01001782,1053,12,18,80,838,64,17,15
Hackney 026D,E01001783,863,1,1,8,826,2,5,0
Hackney 027B,E01001777,1043,6,3,23,907,35,50,0
Hackney 027D,E01001780,916,3,4,25,821,40,15,1
Hackney 027E,E01001784,797,4,3,11,737,13,18,0
Hackney 027F,E01033706,764,3,5,17,600,50,81,0
Hackney 027G,E01033708,862,4,6,22,484,165,175,0
Hackney 027H,E01033709,789,2,3,2,686,31,14,0
Hackney 027I,E01033711,501,2,2,13,398,48,22,1
Hackney 028A,E01001798,694,22,38,139,371,79,39,0
Hackney 028B,E01001828,831,3,26,57,672,56,0,0
Hackney 028C,E01033702,480,2,12,43,395,17,11,0
Hackney 028D,E01033705,576,17,21,68,443,20,2,1
Hackney 028E,E01033710,532,9,6,10,492,7,2,0
Hackney 029A,E01001722,860,11,26,91,579,112,15,0
Hackney 029B,E01001728,627,6,35,39,475,62,0,0
Hackney 029C,E01001822,706,10,19,62,496,97,3,0
Hackney 029D,E01001827,716,21,52,72,376,151,15,1
Hammersmith and Fulham 001A,E01001874,966,24,53,164,576,137,7,2
Hammersmith and Fulham 001B,E01001875,666,45,168,354,56,24,19,0
Hammersmith and Fulham 001C,E01001876,834,28,74,175,509,16,2,0
Hammersmith and Fulham 001D,E01001877,603,21,40,166,219,123,16,1
Hammersmith and Fulham 001E,E01001878,605,42,143,377,35,8,0,0
Hammersmith and Fulham 002A,E01001955,674,28,125,161,317,31,4,1
Hammersmith and Fulham 002B,E01001957,605,3,15,22,548,5,1,2
Hammersmith and Fulham 002C,E01001958,614,2,5,8,579,6,1,0
Hammersmith and Fulham 002D,E01001961,540,4,5,7,503,4,1,0
Hammersmith and Fulham 003A,E01001954,649,15,42,234,228,108,11,0
Hammersmith and Fulham 003B,E01001956,603,10,82,163,294,48,1,0
Hammersmith and Fulham 003C,E01001959,588,30,200,198,142,11,1,0
Hammersmith and Fulham 003D,E01001960,750,3,30,172,188,324,11,0
Hammersmith and Fulham 004A,E01001943,905,15,37,164,292,294,56,0
Hammersmith and Fulham 004B,E01001944,869,8,13,24,790,11,5,0
Hammersmith and Fulham 004C,E01001945,754,17,31,218,182,271,2,0
Hammersmith and Fulham 004D,E01001946,702,5,25,103,239,297,4,1
Hammersmith and Fulham 005A,E01001862,830,13,30,52,222,486,2,0
Hammersmith and Fulham 005B,E01001940,740,9,39,41,318,273,42,0
Hammersmith and Fulham 005C,E01001941,717,11,23,101,201,259,62,0
Hammersmith and Fulham 005D,E01001942,865,15,34,132,172,432,47,1
Hammersmith and Fulham 006A,E01001858,732,16,34,99,355,196,25,0
Hammersmith and Fulham 006B,E01001860,795,7,25,77,421,182,66,1
Hammersmith and Fulham 006C,E01001861,654,6,34,112,241,255,2,0
Hammersmith and Fulham 006D,E01001863,671,10,50,167,110,293,1,0
Hammersmith and Fulham 006E,E01001864,761,17,32,181,193,283,7,0
Hammersmith and Fulham 007A,E01001852,956,8,13,60,198,636,11,0
Hammersmith and Fulham 007B,E01001853,695,11,25,149,160,312,3,0
Hammersmith and Fulham 007C,E01001854,887,5,16,73,402,363,11,1
Hammersmith and Fulham 007D,E01001857,733,2,3,18,588,75,13,0
Hammersmith and Fulham 008A,E01001859,1140,11,23,50,939,113,1,0
Hammersmith and Fulham 008B,E01001865,651,12,33,281,129,196,0,0
Hammersmith and Fulham 008C,E01001927,557,36,256,69,77,92,3,0
Hammersmith and Fulham 008D,E01001930,842,41,78,89,496,122,5,0
Hammersmith and Fulham 009A,E01001895,674,12,30,197,91,327,14,0
Hammersmith and Fulham 009B,E01001896,669,4,13,90,236,308,8,0
Hammersmith and Fulham 009C,E01001897,619,10,28,220,51,263,4,0
Hammersmith and Fulham 009D,E01001929,597,7,23,386,65,105,9,0
Hammersmith and Fulham 010A,E01001851,696,11,21,255,127,241,18,0
Hammersmith and Fulham 010B,E01001855,894,1,12,117,174,557,4,0
Hammersmith and Fulham 010C,E01001856,730,5,19,107,265,239,31,0
Hammersmith and Fulham 010D,E01001869,574,5,41,168,171,183,1,0
Hammersmith and Fulham 010E,E01001873,689,3,10,107,293,245,16,0
Hammersmith and Fulham 011A,E01001928,722,13,87,163,285,115,16,1
Hammersmith and Fulham 011B,E01001931,709,6,37,62,478,109,3,1
Hammersmith and Fulham 011C,E01001932,757,13,36,137,371,111,70,0
Hammersmith and Fulham 011D,E01001933,635,19,70,232,192,78,37,0
Hammersmith and Fulham 012A,E01001866,704,6,7,40,525,84,27,1
Hammersmith and Fulham 012B,E01001867,612,2,3,40,543,12,4,0
Hammersmith and Fulham 012C,E01001868,603,1,6,15,442,67,3,0
Hammersmith and Fulham 012D,E01001870,1009,2,5,56,436,397,10,0
Hammersmith and Fulham 012E,E01001871,769,3,9,26,594,106,2,0
Hammersmith and Fulham 012F,E01001872,759,1,9,62,197,421,1,0
Hammersmith and Fulham 013A,E01001893,504,3,8,25,442,21,2,0
Hammersmith and Fulham 013B,E01001894,602,3,27,48,354,109,51,10
Hammersmith and Fulham 013C,E01001898,736,8,29,123,151,359,29,0
Hammersmith and Fulham 013D,E01001899,691,4,20,94,475,87,7,0
Hammersmith and Fulham 013E,E01001900,723,9,42,159,376,110,21,0
Hammersmith and Fulham 014A,E01001889,593,9,34,256,61,227,2,0
Hammersmith and Fulham 014B,E01001910,840,8,7,53,309,400,5,0
Hammersmith and Fulham 014C,E01001913,774,1,4,12,615,128,2,0
Hammersmith and Fulham 014D,E01001914,887,1,7,28,407,345,21,2
Hammersmith and Fulham 015A,E01001885,538,3,6,26,486,5,5,0
Hammersmith and Fulham 015B,E01001908,875,13,9,24,324,425,10,0
Hammersmith and Fulham 015C,E01001909,821,12,14,184,295,290,9,0
Hammersmith and Fulham 015D,E01001911,751,6,20,46,572,86,6,0
Hammersmith and Fulham 015E,E01001912,600,16,30,106,314,88,30,0
Hammersmith and Fulham 016A,E01001886,628,22,25,207,287,65,18,0
Hammersmith and Fulham 016B,E01001887,658,15,26,149,357,107,2,0
Hammersmith and Fulham 016C,E01001890,950,4,15,165,456,112,16,0
Hammersmith and Fulham 016D,E01001892,605,7,6,120,367,96,2,0
Hammersmith and Fulham 017A,E01001880,757,2,9,58,614,61,9,1
Hammersmith and Fulham 017B,E01001881,681,15,48,230,119,242,25,0
Hammersmith and Fulham 017C,E01001882,702,12,31,247,109,272,14,0
Hammersmith and Fulham 017D,E01001883,734,7,22,101,267,311,10,0
Hammersmith and Fulham 017E,E01001884,931,7,16,109,522,212,44,0
Hammersmith and Fulham 018A,E01001888,644,7,20,359,108,140,8,0
Hammersmith and Fulham 018B,E01001891,863,6,24,242,271,206,79,0
Hammersmith and Fulham 018C,E01001917,684,4,33,172,290,176,3,0
Hammersmith and Fulham 018D,E01001918,622,4,40,152,152,270,4,0
Hammersmith and Fulham 018E,E01001919,639,8,83,213,177,154,2,0
Hammersmith and Fulham 019A,E01001879,633,14,24,272,162,147,14,0
Hammersmith and Fulham 019B,E01001901,695,11,22,358,66,223,4,0
Hammersmith and Fulham 019C,E01001902,814,7,20,223,410,131,19,0
Hammersmith and Fulham 019D,E01001903,681,9,33,199,241,132,63,0
Hammersmith and Fulham 020A,E01001920,828,1,26,84,575,111,16,0
Hammersmith and Fulham 020B,E01001921,663,13,46,223,103,247,31,0
Hammersmith and Fulham 020C,E01001922,671,13,32,358,128,110,29,1
Hammersmith and Fulham 020D,E01001923,653,8,55,257,189,129,10,0
Hammersmith and Fulham 020E,E01001924,604,4,25,258,99,201,7,0
Hammersmith and Fulham 021A,E01001947,591,8,5,43,491,21,3,0
Hammersmith and Fulham 021B,E01001948,922,3,23,252,235,338,38,0
Hammersmith and Fulham 021C,E01001949,658,8,11,217,106,286,10,0
Hammersmith and Fulham 021D,E01001950,636,7,50,262,116,179,11,0
Hammersmith and Fulham 021E,E01001951,705,11,34,154,226,216,43,0
Hammersmith and Fulham 021F,E01001953,610,6,9,95,293,137,46,1
Hammersmith and Fulham 022A,E01001904,681,10,15,249,97,294,14,0
Hammersmith and Fulham 022B,E01001905,750,6,29,239,161,298,15,0
Hammersmith and Fulham 022C,E01001906,656,6,19,209,267,143,7,0
Hammersmith and Fulham 022D,E01001907,563,4,24,210,58,263,1,0
Hammersmith and Fulham 023A,E01001935,927,10,25,256,97,522,11,0
Hammersmith and Fulham 023C,E01001939,985,7,34,111,635,192,4,1
Hammersmith and Fulham 023D,E01032788,496,7,18,90,99,275,7,0
Hammersmith and Fulham 023E,E01032789,586,0,0,3,557,7,6,0
Hammersmith and Fulham 023F,E01032790,557,2,2,11,528,8,0,0
Hammersmith and Fulham 024A,E01001915,608,11,187,41,336,27,3,0
Hammersmith and Fulham 024B,E01001916,689,13,104,45,489,30,1,5
Hammersmith and Fulham 024C,E01001926,613,13,35,315,116,103,22,0
Hammersmith and Fulham 024D,E01001952,809,9,22,84,429,195,59,0
Hammersmith and Fulham 025A,E01001925,624,13,39,301,104,132,18,0
Hammersmith and Fulham 025B,E01001934,699,8,23,101,539,8,12,0
Hammersmith and Fulham 025C,E01001937,760,10,26,333,80,281,22,0
Hammersmith and Fulham 025D,E01001938,616,11,16,143,308,130,4,0
Haringey 001A,E01001969,857,38,85,111,312,285,14,1
Haringey 001B,E01001971,784,22,50,111,479,101,8,0
Haringey 001C,E01001974,959,39,83,280,223,273,46,0
Haringey 001D,E01001975,776,15,39,136,210,336,13,0
Haringey 002A,E01002036,637,45,81,170,278,44,2,2
Haringey 002B,E01002037,697,25,48,136,406,63,2,8
Haringey 002C,E01002039,639,6,10,20,572,14,5,0
Haringey 002D,E01002040,740,68,84,284,193,93,9,2
Haringey 004A,E01001962,641,10,199,160,196,75,1,0
Haringey 004B,E01001970,728,30,86,146,351,92,17,0
Haringey 004C,E01001972,749,21,46,210,324,138,2,1
Haringey 004D,E01001973,943,20,265,156,453,32,8,0
Haringey 005A,E01002090,531,49,119,289,56,18,0,0
Haringey 005B,E01002093,645,39,173,233,170,18,10,0
Haringey 005C,E01002096,583,50,128,301,85,18,1,0
Haringey 005D,E01002097,592,42,104,318,93,22,13,0
Haringey 006A,E01002091,635,43,200,226,139,22,1,2
Haringey 006B,E01002092,689,30,46,85,517,5,1,1
Haringey 006C,E01002094,541,54,133,301,42,10,1,0
Haringey 006D,E01002095,604,61,80,328,101,30,4,0
Haringey 007A,E01002098,604,14,34,263,70,208,5,1
Haringey 007B,E01002101,698,34,94,204,130,226,1,1
